,Année,Stade URL,Nom pendant la CM (si différent),Capacité lors de la CM
,2002,http://fr.wikipedia.org/wiki/Stade_de_la_Coupe_du_Monde_de_Jeju,,42256
,2002,http://fr.wikipedia.org/wiki/Stade_de_la_Coupe_du_monde_de_S%C3%A9oul,,68476
,2002,http://fr.wikipedia.org/wiki/Stade_de_la_Coupe_du_monde_de_Suwon,,44047
,2002,http://fr.wikipedia.org/wiki/Stade_de_football_d%E2%80%99Ulsan_Munsu,,43003
,2002,http://fr.wikipedia.org/wiki/Kashima_Stadium,,41800
,2002,http://fr.wikipedia.org/wiki/Kobe_Wing_Stadium,,42000
,2002,http://fr.wikipedia.org/wiki/Miyagi_Stadium,,50000
,2002,http://fr.wikipedia.org/wiki/Niigata_Stadium,,42700
,2002,http://fr.wikipedia.org/wiki/%C5%8Cita_Big_Eye_Stadium,,43000
,2002,http://fr.wikipedia.org/wiki/Nagai_Stadium,,50000
,2002,http://fr.wikipedia.org/wiki/Saitama_Stadium_2002,,63700
,2002,http://fr.wikipedia.org/wiki/Sapporo_Dome,,42122
,2002,http://fr.wikipedia.org/wiki/Shizuoka_Stadium,,50600
,2002,http://fr.wikipedia.org/wiki/Yokohama_International_Stadium,,70564
2006,2006,http://fr.wikipedia.org/wiki/HSH_Nordbank_Arena,,51500
,2006,http://fr.wikipedia.org/wiki/Stade_olympique_de_Berlin,,74000
,2006,http://fr.wikipedia.org/wiki/Zentralstadion,,44345
,2006,http://fr.wikipedia.org/wiki/EasyCredit-Stadion,,38000
,2006,http://fr.wikipedia.org/wiki/Allianz_Arena,,67812
,2006,http://fr.wikipedia.org/wiki/Mercedes-Benz_Arena,,60441
,2006,http://fr.wikipedia.org/wiki/Fritz-Walter-Stadion,,49780
,2006,http://fr.wikipedia.org/wiki/Veltins-Arena,,54142
,2006,http://fr.wikipedia.org/wiki/Signal_Iduna_Park,,65829
,2006,http://fr.wikipedia.org/wiki/RheinEnergieStadion,,46361
,2006,http://fr.wikipedia.org/wiki/Commerzbank-Arena,,50300
,2006,http://fr.wikipedia.org/wiki/Fritz-Walter-Stadion,,49780
2010,2010,http://fr.wikipedia.org/wiki/Stade_Royal_Bafokeng,,44530
,2010,http://fr.wikipedia.org/wiki/Loftus_Versfeld_Stadium,,49365
,2010,http://fr.wikipedia.org/wiki/Stade_Peter-Mokaba,,45264
,2010,http://fr.wikipedia.org/wiki/Stade_Mbombela,,43589
,2010,http://fr.wikipedia.org/wiki/FNB_Stadium,,94700
,2010,http://fr.wikipedia.org/wiki/Ellis_Park_Stadium,,62567
,2010,http://fr.wikipedia.org/wiki/Cape_Town_Stadium,,66005
,2010,http://fr.wikipedia.org/wiki/Nelson_Mandela_Bay_Stadium,,46082
,2010,http://fr.wikipedia.org/wiki/Free_State_Stadium,,45058
,2010,http://fr.wikipedia.org/wiki/Stade_Moses-Mabhida,,69957
